timestamp,CPU_ALL:User%,MEM:memtotal,MEM:active,MEM:inactive
1628095979,14.4,64275.6,5820.8,52768.3
1628095980,13.1,64275.6,5820.8,52768.5
1628095981,15.8,64275.6,5820.8,52793.0
1628095982,12.9,64275.6,5820.8,52793.0
1628095983,14.1,64275.6,5820.8,52793.1
1628095984,14.0,64275.6,5820.8,52793.1
1628095985,13.9,64275.6,5820.8,52767.4
1628095986,12.6,64275.6,5820.8,52767.3
1628095987,12.8,64275.6,5820.8,52767.3
1628095988,13.5,64275.6,5820.8,52767.3
1628095989,13.0,64275.6,5820.8,52767.3
1628095990,12.5,64275.6,5820.8,52767.5
1628095991,15.5,64275.6,5820.8,52767.3
1628095992,12.5,64275.6,5820.8,52767.3
1628095993,14.9,64275.6,5820.8,52767.3
1628095994,13.8,64275.6,5820.8,52767.4
1628095995,13.4,64275.6,5820.8,52767.5
1628095996,13.0,64275.6,5820.8,52767.6
1628095997,13.2,64275.6,5820.8,52767.6
1628095998,15.1,64275.6,5820.8,52767.7
1628095999,13.3,64275.6,5820.8,52767.7
1628096000,17.6,64275.6,5820.8,52768.0
1628096001,12.9,64275.6,5820.8,52767.7
1628096002,14.8,64275.6,5820.8,52767.7
1628096003,14.1,64275.6,5820.8,52767.8
1628096004,14.0,64275.6,5820.8,52767.8
1628096005,13.2,64275.6,5820.8,52767.8
1628096006,13.6,64275.6,5820.8,52767.9
1628096007,12.7,64275.6,5820.8,52767.9
1628096008,14.8,64275.6,5820.8,52767.9
1628096009,14.3,64275.6,5820.8,52793.6
1628096010,12.9,64275.6,5820.8,52793.7
1628096011,15.6,64275.6,5820.8,52793.7
1628096012,13.2,64275.6,5820.8,52793.7
1628096013,14.2,64275.6,5820.8,52767.9
1628096014,13.8,64275.6,5820.8,52767.9
1628096015,13.4,64275.6,5820.8,52767.9
1628096016,12.8,64275.6,5820.8,52767.9
1628096017,13.5,64275.6,5820.8,52767.9
1628096018,13.9,64275.6,5820.8,52768.3
1628096019,12.9,64275.6,5820.8,52768.4
1628096020,12.6,64275.6,5820.8,52769.0
1628096021,14.9,64275.6,5820.8,52769.2
1628096022,13.0,64275.6,5820.8,52769.3
1628096023,15.9,64275.6,5820.8,52769.8
1628096024,13.7,64275.6,5820.8,52770.0
1628096025,13.6,64275.6,5820.8,52770.9
1628096026,13.0,64275.6,5820.8,52771.0
1628096027,13.1,64275.6,5820.8,52771.4
1628096028,15.5,64275.6,5820.8,52773.3
1628096029,13.4,64275.6,5820.8,52798.3
1628096030,12.6,64275.6,5820.8,52798.7
1628096031,13.3,64275.6,5820.8,52799.6
1628096032,12.7,64275.6,5820.8,52800.0
1628096033,14.1,64275.6,5820.8,52774.6
1628096034,13.6,64275.6,5820.8,52775.2
1628096035,14.0,64275.6,5820.8,52775.6
1628096036,12.8,64275.6,5820.8,52775.8
1628096037,13.2,64275.6,5820.8,52776.2
1628096038,15.5,64275.6,5820.8,52777.2
1628096039,13.7,64275.6,5820.8,52777.6
1628096040,12.9,64275.6,5820.8,52778.1
1628096041,15.5,64275.6,5820.8,52778.3
1628096042,14.6,64275.6,5820.8,52778.6
1628096043,14.6,64275.6,5820.8,52778.9
1628096044,13.4,64275.6,5820.8,52779.0
1628096045,13.5,64275.6,5820.8,52779.2
1628096046,12.8,64275.6,5820.8,52779.0
1628096047,13.1,64275.6,5820.8,52779.1
1628096048,13.2,64275.6,5820.8,52793.4
1628096049,12.6,64275.6,5820.8,52779.3
1628096050,13.2,64275.6,5820.8,52779.4
1628096051,15.9,64275.6,5820.8,52779.5
1628096052,13.3,64275.6,5820.8,52779.5
1628096053,15.2,64275.6,5820.8,52779.6
1628096054,13.6,64275.6,5820.8,52779.7
1628096055,13.8,64275.6,5820.8,52780.8
1628096056,12.1,64275.6,5820.8,52781.1
1628096057,13.2,64275.6,5820.8,52781.2
1628096058,15.0,64275.6,5820.8,52781.5
1628096059,13.6,64275.6,5820.8,52781.8
1628096060,15.8,64275.6,5820.8,52781.7
1628096061,16.4,64275.6,5820.8,52783.3
1628096062,12.5,64275.6,5820.8,52785.9
1628096063,15.5,64275.6,5820.9,52786.2
1628096064,14.9,64275.6,5820.8,52786.3
1628096065,14.7,64275.6,5820.8,52786.5
1628096066,15.2,64275.6,5820.8,52786.4
1628096067,14.3,64275.6,5820.8,52786.5
1628096068,16.4,64275.6,5820.8,52786.3
1628096069,15.4,64275.6,5820.8,52786.8
1628096070,14.9,64275.6,5820.8,52785.9
1628096071,17.0,64275.6,5820.8,52786.5
1628096072,14.4,64275.6,5820.8,52797.8
1628096073,14.6,64275.6,5820.8,52786.5
1628096074,14.4,64275.6,5820.8,52786.5
1628096075,15.3,64275.6,5820.8,52786.8
1628096076,13.6,64275.6,5820.8,52786.7
1628096077,13.9,64275.6,5820.8,52787.9
1628096078,13.1,64275.6,5820.8,52788.1
1628096079,14.7,64275.6,5820.8,52789.0
1628096080,13.0,64275.6,5820.8,52789.4
1628096081,15.5,64275.6,5820.8,52788.5
1628096082,13.2,64275.6,5820.8,52806.7
1628096083,15.0,64275.6,5820.9,52788.5
1628096084,14.4,64275.6,5820.9,52788.9
1628096085,14.5,64275.6,5820.9,52788.8
1628096086,13.9,64275.6,5820.9,52788.9
1628096087,14.1,64275.6,5820.9,52788.9
1628096088,15.2,64275.6,5820.9,52789.2
1628096089,14.1,64275.6,5820.9,52830.6
1628096090,12.3,64275.6,5820.9,52830.3
1628096092,13.1,64275.6,5820.9,52831.0
1628096093,13.4,64275.6,5820.9,52795.3
1628096094,13.7,64275.6,5820.9,52789.4
1628096095,14.1,64275.6,5820.9,52791.2
1628096096,13.7,64275.6,5820.9,52832.5
1628096097,12.0,64275.6,5820.9,52791.8
1628096098,12.2,64275.6,5820.9,52791.4
1628096099,16.0,64275.6,5820.8,52791.6
1628096100,13.4,64275.6,5820.9,52791.5
1628096101,13.0,64275.6,5820.9,52791.5
1628096102,15.3,64275.6,5820.9,52791.5
1628096103,13.4,64275.6,5820.9,52791.3
1628096104,12.8,64275.6,5820.9,52791.5
1628096105,14.3,64275.6,5820.9,52791.5
1628096106,13.9,64275.6,5820.9,52791.6
1628096107,12.5,64275.6,5820.9,52791.5
1628096108,13.6,64275.6,5820.9,52791.5
1628096109,12.8,64275.6,5820.8,52791.5
1628096110,13.8,64275.6,5820.9,52791.6
1628096111,14.7,64275.6,5820.8,52791.6
1628096112,14.2,64275.6,5820.9,52791.6
1628096113,13.6,64275.6,5820.9,52791.2
1628096114,13.3,64275.6,5820.9,52791.6
1628096115,14.2,64275.6,5820.9,52791.8
1628096116,16.1,64275.6,5820.9,52820.9
1628096117,15.7,64275.6,5820.9,52819.1
1628096118,13.7,64275.6,5820.9,52843.5
1628096119,15.5,64275.6,5820.9,52849.3
1628096120,13.7,64275.6,5820.9,52818.9
1628096121,13.4,64275.6,5820.9,52843.6
1628096122,18.9,64275.6,5820.9,52818.2
1628096123,13.4,64275.6,5820.9,52817.5
1628096124,13.4,64275.6,5820.9,52817.9
1628096125,13.6,64275.6,5820.9,52792.0
1628096126,14.2,64275.6,5820.9,52792.1
1628096127,13.0,64275.6,5820.9,52792.1
1628096128,12.6,64275.6,5820.9,52792.1
1628096129,14.8,64275.6,5820.9,52792.1
1628096130,14.0,64275.6,5820.9,52792.5
1628096131,14.1,64275.6,5820.9,52792.1
1628096132,14.3,64275.6,5820.9,52792.1
1628096133,13.4,64275.6,5820.9,52791.4
1628096134,12.7,64275.6,5820.9,52792.1
1628096135,14.1,64275.6,5820.9,52792.1
1628096136,13.7,64275.6,5820.9,52792.2
1628096137,12.6,64275.6,5820.9,52792.3
1628096138,13.4,64275.6,5820.9,52792.3
1628096139,13.3,64275.6,5820.9,52792.3
1628096140,13.7,64275.6,5820.9,52792.3
1628096141,14.7,64275.6,5820.9,52792.5
1628096142,13.0,64275.6,5820.9,52792.3
1628096143,13.8,64275.6,5820.9,52791.6
1628096144,13.0,64275.6,5820.9,52801.5
1628096145,14.1,64275.6,5820.9,52792.7
1628096146,14.4,64275.6,5820.9,52792.8
1628096147,13.4,64275.6,5820.9,52792.7
1628096148,13.5,64275.6,5820.9,52793.2
1628096149,14.0,64275.6,5820.9,52792.5
